,Word,Frequency,tf_idf
3141,convinced,85,0.00017422944966557068
3145,toward,85,0.00017422944966557068
3137,delicate,85,0.00017391462856507044
3135,tends,85,0.00017391462856507044
3167,program,84,0.00017379449208959846
3161,cigarette,84,0.00017379449208959846
3157,shoulder,84,0.00017379449208959846
3187,entrée,83,0.00017378295988493357
3136,monthly,85,0.00017360357786782673
3138,america,85,0.00017360357786782673
3134,supposedly,85,0.00017360357786782673
3149,opposite,85,0.00017360357786782673
3152,interaction,85,0.00017360357786782673
3172,package,84,0.0001734633021412878
3158,midwest,84,0.0001734633021412878
3248,da,80,0.0001733030485468291
3140,turning,85,0.00017329620833036343
3159,pant,84,0.00017313633128805884
3160,confusion,84,0.00017313633128805884
3323,winghart,77,0.00017301913177675756
3237,grit,81,0.00017295019551612573
3221,mimosa,82,0.00017277090038774653
3210,rang,82,0.00017277090038774653
3190,bucket,83,0.00017273337671435557
3174,wi,83,0.00017273337671435557
3155,laughed,84,0.00017249462624273083
3154,marinated,84,0.00017249462624273083
3162,stingy,84,0.000172179691434211
3164,disrespectful,84,0.000172179691434211
3169,knocked,84,0.000172179691434211
3171,yr,84,0.000172179691434211
3168,interest,84,0.000172179691434211
3204,crocker,82,0.00017204459593851568
3200,ha,82,0.00017204459593851568
3182,bay,83,0.00017172551004091276
3180,mount,83,0.00017172551004091276
3175,triple,83,0.00017172551004091276
3166,accommodated,84,0.00017156118283408758
3165,land,84,0.00017156118283408758
3228,curry,81,0.0001714028047315422
3189,somebody,83,0.00017139826283008199
3214,cesar,82,0.00017133875351495588
3195,oddly,83,0.00017107518448701052
3219,robinson,82,0.00017099315149715787
3222,pine,82,0.00017099315149715787
3184,zesty,83,0.00017075617013032009
3181,gigantic,83,0.00017075617013032009
3196,generously,83,0.00017044111878746022
3194,access,83,0.00017044111878746022
3191,component,83,0.00017044111878746022
3183,setup,83,0.00017044111878746022
3188,death,83,0.00017044111878746022
3229,el,81,0.00017030261511200535
3185,quicker,83,0.00017012993320285135
3193,slid,83,0.00017012993320285135
3202,towel,82,0.00016998405878743022
3226,illinois,82,0.00016998405878743022
3179,sporting,83,0.000169822519657657
3178,happier,83,0.000169822519657657
3192,embarrassed,83,0.000169822519657657
3186,celebrating,83,0.000169822519657657
3208,ipas,82,0.00016965652799222708
3212,debit,82,0.00016965652799222708
3217,stock,82,0.00016965652799222708
3220,competitor,82,0.00016933322351887618
3225,chic,82,0.00016933322351887618
3264,chinese,80,0.00016928672072251082
3224,accident,82,0.0001690140376859622
3207,body,82,0.0001690140376859622
3199,funky,82,0.0001690140376859622
3198,newer,82,0.0001690140376859622
3232,mcdonald,81,0.00016890786916182667
3223,hunt,82,0.00016869886687573794
3209,defiantly,82,0.00016869886687573794
3201,attractive,82,0.00016869886687573794
3203,i.,82,0.0001683876113321896
3218,booze,82,0.0001683876113321896
3246,quattro,81,0.00016823890435433076
3197,trick,82,0.0001680801749714917
3205,discover,82,0.0001680801749714917
3216,recommending,82,0.0001680801749714917
3239,passable,81,0.00016791108246075426
3240,backed,81,0.00016791108246075426
3266,eastern,80,0.0001678483862814787
